translated_location,profil_negara,measure_name,year,gdp_per_capita,pop_density,val,prediction,cluster_risiko
Somalia,Risiko Rendah,Meninggal,2023,1401.6473,29.26423,69.0029959933936,747.7576900917885,Tinggi
Marshall Islands,Risiko Rendah,Meninggal,2023,6801.6147,215.82777,44.60210412215641,333.56906113988,Sedang
Saint Vincent dan Grenadines,Risiko Rendah,Meninggal,2023,15136.696,102.52181,1.522939596879813,153.49216939770739,Rendah
Timor-Leste,Risiko Rendah,Meninggal,2023,15136.696,102.52181,43.99411637941093,396.52250852491545,Sedang
Kirgistan,Risiko Rendah,Meninggal,2023,15136.696,102.52181,2.850862655446223,154.6339037670844,Rendah
Saudi Arabia,Risiko Sedang,Meninggal,2023,64481.844,15.473994,1.5747232814864236,228.20904900835075,Rendah
Uni Emirat Arab,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.4835294691822112,84.71527037670018,Rendah
Liberia,Risiko Rendah,Meninggal,2023,1616.9237,57.02902,18.62383910140831,408.90072248591173,Sedang
Republik Arab Syria,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.6122814776647343,204.61848882428148,Rendah
Yaman,Risiko Rendah,Meninggal,2023,15136.696,102.52181,2.7754119320345843,206.80688222067278,Rendah
Mali,Risiko Rendah,Meninggal,2023,2860.4282,19.47986,22.00127562611123,413.7072261627286,Sedang
Republik Persatuan Tanzania,Risiko Rendah,Meninggal,2023,15136.696,102.52181,16.932346414206688,277.286107363103,Rendah
Vietnam,Risiko Rendah,Meninggal,2023,13545.935,320.1752,15.21829852219475,130.413575244014,Rendah
Belgium,Risiko Sedang,Meninggal,2023,63095.402,386.8194,0.48263843982295634,356.7763152602491,Sedang
Swiss,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.3405401052827988,410.5014457460934,Sedang
Montenegro,Risiko Rendah,Meninggal,2023,27243.518,47.104313,1.0518142799625219,222.87655032600117,Rendah
Siprus,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.42858785442345265,402.3783038733873,Sedang
Gambia,Risiko Rendah,Meninggal,2023,2963.5986,266.58557,22.84384691604325,426.9714145570308,Sedang
United Kingdom,Risiko Sedang,Meninggal,2023,52592.684,283.89603,0.39154719684130096,367.1258533234805,Sedang
Polandia,Risiko Rendah,Meninggal,2023,15136.696,102.52181,1.2715215087303886,151.14296291670388,Rendah
Burundi,Risiko Rendah,Meninggal,2023,1036.1671,533.0785,49.787160993687586,539.8804484892255,Sedang
Grenada,Risiko Rendah,Meninggal,2023,17093.156,344.3941,0.43757227383403136,207.50957242072357,Rendah
Guyana,Risiko Sedang,Meninggal,2023,49312.36,4.1979017,4.496849294552739,564.7274580395916,Sedang
Maladewa,Risiko Rendah,Meninggal,2023,15136.696,102.52181,3.645230278228119,85.61086620932187,Rendah
Honduras,Risiko Rendah,Meninggal,2023,6467.88,95.136765,5.631954029792429,182.96666938932975,Rendah
Mexico,Risiko Rendah,Meninggal,2023,21917.248,66.74027,2.2828277087583864,82.66306069325347,Rendah
Saint Kitts dan Nevis,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.9283850250144683,160.57528469025905,Rendah
Myanmar,Risiko Rendah,Meninggal,2023,5364.138,82.94207,27.442181922913246,252.73088600214308,Rendah
Nikaragua,Risiko Rendah,Meninggal,2023,15136.696,102.52181,3.429076122568841,217.20090569876717,Rendah
San Marino,Risiko Sedang,Meninggal,2023,70951.79,562.68335,0.1859218373696101,369.19032525178545,Sedang
Israel,Risiko Sedang,Meninggal,2023,47527.152,427.7408,0.2249925062604809,355.876797498487,Sedang
Armenia,Risiko Rendah,Meninggal,2023,19402.752,103.38595,0.881797410255095,149.6233187837275,Rendah
Italy,Risiko Sedang,Meninggal,2023,52870.324,201.20403,0.4740088262978027,670.0847512386015,Sedang
Filipina,Risiko Rendah,Meninggal,2023,15136.696,102.52181,20.15612845220006,333.03176040400024,Sedang
Libya,Risiko Rendah,Meninggal,2023,12476.598,4.1520276,1.657189925919793,204.3618837445695,Rendah
Tokelau,Risiko Rendah,Meninggal,2023,15136.696,242.4,4.534578599069946,167.0404477512797,Rendah
Maroko,Risiko Rendah,Meninggal,2023,15136.696,102.52181,3.8754328380497975,181.9632915427526,Rendah
Pakistan,Risiko Rendah,Meninggal,2023,5418.7695,321.06747,22.523636656044562,341.3479320460413,Sedang
Burkina Faso,Risiko Rendah,Meninggal,2023,2486.2068,84.15854,15.811182864230327,310.6202855940048,Sedang
Malawi,Risiko Rendah,Meninggal,2023,1649.2987,223.84895,21.24093397811133,367.5745959535231,Sedang
Kamerun,Risiko Rendah,Meninggal,2023,15136.696,102.52181,18.637985346953982,285.5163404551828,Sedang
Mauritius,Risiko Sedang,Meninggal,2023,26635.012,637.75214,1.0756009099046833,73.15626009573249,Rendah
Mozambik,Risiko Rendah,Meninggal,2023,15136.696,102.52181,35.80353068537616,379.9679599189868,Sedang
Malta,Risiko Sedang,Meninggal,2023,60418.395,1665.5125,0.1437470353320796,294.5547448789815,Sedang
Antigua dan Barbuda,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.3580750328350334,159.42154331731757,Rendah
Taiwan (Provinsi Tiongkok),Risiko Rendah,Meninggal,2023,15136.696,102.52181,2.9885289117313487,94.42109667044652,Rendah
Mikronesia (Negara Federasi),Risiko Rendah,Meninggal,2023,15136.696,102.52181,7.602663774821876,101.43954817406103,Rendah
Bahama,Risiko Rendah,Meninggal,2023,15136.696,102.52181,1.210383004738416,156.29292828204743,Rendah
Papua New Guinea,Risiko Rendah,Meninggal,2023,4205.8477,22.942274,20.454074056358373,216.49940202437315,Rendah
Netherlands,Risiko Sedang,Meninggal,2023,70198.93,537.3486,0.33034689045828897,378.4526972970569,Sedang
Samoa,Risiko Rendah,Meninggal,2023,7383.7456,77.939926,6.693798083733536,189.68264654510676,Rendah
Bahrain,Risiko Sedang,Meninggal,2023,57819.906,1986.9291,0.596619282277989,691.9712063375559,Sedang
Egypt,Risiko Rendah,Meninggal,2023,16691.387,115.05929,0.683432560415513,188.26342521167695,Rendah
Denmark,Risiko Sedang,Meninggal,2023,69379.22,148.70335,0.3736911167564832,359.1026063924627,Sedang
Albania,Risiko Rendah,Meninggal,2023,20481.035,102.615326,1.2281784886302944,179.09687055907725,Rendah
Iran (Republik Islam),Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.8543333694106312,87.08786865673709,Rendah
Finland,Risiko Sedang,Meninggal,2023,56250.88,18.428122,0.8093584431194678,333.2419615289427,Sedang
Bosnia dan Herzegovina,Risiko Rendah,Meninggal,2023,15136.696,102.52181,2.6228017915077504,150.30740495269663,Rendah
Komoro,Risiko Rendah,Meninggal,2023,15136.696,102.52181,24.399578583624102,267.67297574633625,Rendah
Perancis,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.8614272552406604,295.5491523968618,Sedang
Djibouti,Risiko Rendah,Meninggal,2023,6510.6787,49.73904,22.416633311446166,240.09768112342053,Rendah
Azerbaijan,Risiko Rendah,Meninggal,2023,21310.738,124.84222,4.75307630566984,152.88830277465274,Rendah
Mauritania,Risiko Rendah,Meninggal,2023,6276.475,4.8728456,10.434010136087796,213.1840403402148,Rendah
Georgia,Risiko Rendah,Meninggal,2023,22590.53,54.79197,2.247509045211553,233.3427677686595,Rendah
Srilanka,Risiko Rendah,Meninggal,2023,15136.696,102.52181,4.141881335437967,84.83569971476008,Rendah
Niger,Risiko Rendah,Meninggal,2023,1689.5642,20.65198,45.53992985084535,469.2621396335108,Sedang
Tuvalu,Risiko Rendah,Meninggal,2023,5812.3994,327.9,46.00319162209548,353.2413505270561,Sedang
Panama,Risiko Rendah,Meninggal,2023,35872.95,60.10728,3.792839012087486,169.9230685656479,Rendah
Haiti,Risiko Rendah,Meninggal,2023,2965.9463,422.25696,49.67947513621192,437.0340713533606,Sedang
Kepulauan Virgin Amerika Serikat,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.41401711753039094,205.12139782543437,Rendah
Thailand,Risiko Rendah,Meninggal,2023,21191.453,140.34808,13.899353380093004,189.06799523017656,Rendah
Jamaika,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.36284975595731445,209.43189321909983,Rendah
Venezuela (Republik Bolivarian),Risiko Rendah,Meninggal,2023,15136.696,102.52181,4.524170295801256,154.9275308510613,Rendah
Palestina,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.6989597607113679,205.43102833013359,Rendah
Luksemburg,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.17656067240272263,396.2720804207999,Sedang
Oman,Risiko Rendah,Meninggal,2023,37793.617,16.314272,0.3984144020613047,722.4880334554853,Tinggi
Cabo Verde,Risiko Rendah,Meninggal,2023,15136.696,102.52181,6.292879189833792,156.765815158989,Rendah
Rumania,Risiko Rendah,Meninggal,2023,15136.696,102.52181,4.495292571457794,209.8015615924135,Rendah
Argentina,Risiko Rendah,Meninggal,2023,27230.396,16.639957,1.8013069125865393,168.2507154224184,Rendah
Chad,Risiko Rendah,Meninggal,2023,2433.0989,15.34234,44.90222907472972,521.2001863122767,Sedang
Monako,Risiko Rendah,Meninggal,2023,15136.696,102.52181,1.5293563503959555,331.7117494538616,Sedang
Serbia,Risiko Rendah,Meninggal,2023,25735.24,80.54708,0.9976745217084073,238.60669497258004,Rendah
Pantai Gading,Risiko Rendah,Meninggal,2023,15136.696,102.52181,18.444801721391887,327.94881128953716,Sedang
Nauru,Risiko Rendah,Meninggal,2023,12372.5205,595.0,18.31086457452504,230.68348037523018,Rendah
Rwanda,Risiko Rendah,Meninggal,2023,3062.999,565.64545,25.68875914027387,450.50154378675757,Sedang
Seychelles,Risiko Rendah,Meninggal,2023,28635.355,278.1761,3.82196340520299,83.13561823370843,Rendah
Tajikistan,Risiko Rendah,Meninggal,2023,4472.324,74.85991,9.776016099978243,131.30461428100148,Rendah
Fiji,Risiko Rendah,Meninggal,2023,13194.805,50.582924,3.8197155243567127,103.32071766942433,Rendah
Turkmenistan,Risiko Rendah,Meninggal,2023,17866.404,15.671349,6.468617429197553,183.62656958737676,Rendah
Turkey,Risiko Rendah,Meninggal,2023,35069.17,113.3928,0.9029661796193023,185.1862338621516,Rendah
Uganda,Risiko Rendah,Meninggal,2023,2791.0557,242.65213,14.692330144390386,217.0395699289065,Rendah
Zambia,Risiko Rendah,Meninggal,2023,3673.4841,27.877651,16.893572810148886,339.3768490971005,Sedang
Andorra,Risiko Sedang,Meninggal,2023,64631.297,172.0617,2.615321316352188,312.53426699692756,Sedang
Spain,Risiko Sedang,Meninggal,2023,47322.594,95.87431,0.6437888179879789,269.9857260286457,Rendah
Guinea,Risiko Rendah,Meninggal,2023,3904.824,58.625546,37.09132556558756,467.91155834518634,Sedang
Austria,Risiko Sedang,Meninggal,2023,64536.297,110.6451,0.511261335186653,285.25645179679236,Sedang
Republik Demokratik Rakyat Laos,Risiko Rendah,Meninggal,2023,15136.696,102.52181,21.667243584455356,325.8914386221327,Sedang
El Salvador,Risiko Rendah,Meninggal,2023,11424.6455,304.51877,3.294779085223366,163.56058601534363,Rendah
Sweden,Risiko Sedang,Meninggal,2023,62662.766,25.906998,0.6425279493063676,509.722083264822,Sedang
Guinea-Bissau,Risiko Rendah,Meninggal,2023,2693.7766,76.57692,48.770422454582125,586.4281504305698,Sedang
Kuba,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.4492160006346877,150.61703545739584,Rendah
Guatemala,Risiko Rendah,Meninggal,2023,12384.948,169.13812,2.465305676640427,81.49567691995615,Rendah
Dominica,Risiko Rendah,Meninggal,2023,18278.225,88.708,2.61057608421524,178.07454297522648,Rendah
Malaysia,Risiko Rendah,Meninggal,2023,32857.668,106.913086,5.232680201574011,154.93754413007625,Rendah
Dominican Republic,Risiko Rendah,Meninggal,2023,23282.49,238.39745,3.4766600859977306,153.52853975892722,Rendah
Vanuatu,Risiko Rendah,Meninggal,2023,3214.7024,26.285645,12.589655483123002,150.57196912246636,Rendah
Palau,Risiko Rendah,Meninggal,2023,16425.973,38.58913,7.59153483205753,194.21837142922374,Rendah
India,Risiko Rendah,Meninggal,2023,9301.756,483.679,23.20020427197071,185.52281196525786,Rendah
Benin,Risiko Rendah,Meninggal,2023,3721.2126,125.142204,22.640434327121998,377.5515989375666,Sedang
Puerto Riko,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.47080238547948966,205.43102833013359,Rendah
Nepal,Risiko Rendah,Meninggal,2023,4861.2305,207.14764,17.409491938517313,256.14115801610916,Rendah
Kuwait,Risiko Sedang,Meninggal,2023,47777.402,271.53653,0.5857203065965054,511.2465076975232,Sedang
Czechia,Risiko Sedang,Meninggal,2023,47558.41,140.0462,0.336341195868234,694.6250611323984,Sedang
Libanon,Risiko Rendah,Meninggal,2023,15136.696,102.52181,1.408899540073947,150.42887748824086,Rendah
Hungaria,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.623189214370531,150.61703545739584,Rendah
Suriname,Risiko Rendah,Meninggal,2023,19020.867,4.031359,1.7733049042676723,175.82235457198226,Rendah
Makedonia Utara,Risiko Rendah,Meninggal,2023,15136.696,102.52181,1.5123471821157217,209.74152372379908,Rendah
Trinidad dan Tobago,Risiko Rendah,Meninggal,2023,15136.696,102.52181,1.346753982344385,154.9468884567943,Rendah
Kenya,Risiko Rendah,Meninggal,2023,5691.825,97.23268,14.889506441132978,195.7539308275423,Rendah
Sierra Leone,Risiko Rendah,Meninggal,2023,3034.946,117.214226,38.32896805865614,359.19686494799987,Sedang
Madagaskar,Risiko Rendah,Meninggal,2023,15136.696,102.52181,34.30990258218795,268.1237551144478,Rendah
Islandia,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.35472666224326427,315.98042445194375,Sedang
Togo,Risiko Rendah,Meninggal,2023,2842.2307,151.20157,23.292045656074155,385.4886308525041,Sedang
Irlandia,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.38002879459445665,298.0035890685024,Sedang
Kepulauan Cook,Risiko Rendah,Meninggal,2023,15136.696,102.52181,1.0963883589223855,155.1853978498697,Rendah
Guam,Risiko Rendah,Meninggal,2023,15136.696,308.37408,6.267593181083768,176.57853520081443,Rendah
Sudan Selatan,Risiko Rendah,Meninggal,2023,15136.696,102.52181,51.58146393407763,338.2821625762533,Sedang
Tunisia,Risiko Rendah,Meninggal,2023,12650.962,78.53008,9.140854287655603,184.22199329223687,Rendah
Mikronesia (Negara Federasi),Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,330.50957945350257,262.7176564583174,Rendah
Maladewa,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,158.98775730471712,235.82102976589834,Rendah
Kazakhstan,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,34703.234,7.530507,96.60012162952525,410.1949662250486,Sedang
Islandia,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,7.7206734833105575,423.01058170476966,Sedang
Swiss,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,6.968585892093673,517.5316029989193,Sedang
India,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,9301.756,483.679,845.9835048733956,553.7020455229008,Sedang
Filipina,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,897.9014510321136,799.9579560313343,Tinggi
Saudi Arabia,Risiko Sedang,DALYs (Disability-Adjusted Life Years),2023,64481.844,15.473994,78.51628539282068,284.5545652082292,Sedang
Israel,Risiko Sedang,DALYs (Disability-Adjusted Life Years),2023,47527.152,427.7408,5.412972712643329,391.6698468457113,Sedang
Egypt,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,16691.387,115.05929,36.511294904077296,328.91586226128925,Sedang
Mexico,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,21917.248,66.74027,100.53727989158489,234.8975082542394,Rendah
Rumania,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,157.10913784503683,349.0396402019025,Sedang
Makedonia Utara,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,46.03567940891069,341.05521311081475,Sedang
Benin,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,3721.2126,125.142204,1251.0067609500952,975.4924380466615,Tinggi
Mongolia,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,16222.864,2.2034814,483.0614946038897,389.4497528842152,Sedang
Mali,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,2860.4282,19.47986,1303.1892154115526,1082.3549552343568,Tinggi
Andorra,Risiko Sedang,DALYs (Disability-Adjusted Life Years),2023,64631.297,172.0617,58.77007203716546,360.46399404132984,Sedang
Republik Persatuan Tanzania,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,747.0587752791729,656.4565760051681,Sedang
Samoa,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,7383.7456,77.939926,296.88623894126573,408.1093289034703,Sedang
Irak,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,101.7393359609027,346.0742706931907,Sedang
Polandia,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,43.11258047156169,310.4897341713024,Sedang
Slovakia,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,39518.223,114.76824,16.35052122834518,274.6244113146189,Rendah
Suriname,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,19020.867,4.031359,80.86108564642686,316.16093688841244,Sedang
Belgium,Risiko Sedang,DALYs (Disability-Adjusted Life Years),2023,63095.402,386.8194,10.01696261095037,397.20175552576825,Sedang
Kirgistan,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,144.35974808882057,300.7585555833976,Sedang
Panama,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,35872.95,60.10728,148.21237630255058,316.91264418379814,Sedang
Republik Rakyat Demokratik Korea,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,1150.0719251890869,768.3569830404891,Tinggi
Kamerun,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,1045.072310547517,826.4711861901546,Tinggi
Luksemburg,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,4.709540357612514,505.3497884499229,Sedang
Honduras,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,6467.88,95.136765,213.8293496085287,371.54315430374396,Sedang
Tonga,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,7030.419,145.29584,184.96809702871028,251.36472576947384,Rendah
Barbados,Risiko Sedang,DALYs (Disability-Adjusted Life Years),2023,21318.672,656.6209,24.00238727760026,249.27320167884747,Rendah
Dominica,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,18278.225,88.708,101.34897821500232,307.87095298323,Sedang
Turkmenistan,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,17866.404,15.671349,344.5391400122978,364.36450584186537,Sedang
Denmark,Risiko Sedang,DALYs (Disability-Adjusted Life Years),2023,69379.22,148.70335,8.090415702869377,396.4198031617887,Sedang
Albania,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,20481.035,102.615326,36.70857880945113,307.14117428988254,Sedang
Hungaria,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,19.75209863645997,288.48246327284437,Sedang
Azerbaijan,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,21310.738,124.84222,247.52891847752994,289.0863286175965,Sedang
Kiribati,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,3140.5833,163.62962,1840.194703319169,1097.4220214073832,Tinggi
Kuba,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,20.972423230495657,288.48246327284437,Sedang
Komoro,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,939.0100176807699,663.3919981319684,Sedang
Thailand,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,21191.453,140.34808,397.04803867642596,347.10725916849947,Sedang
Tokelau,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,242.4,186.30849255114256,323.5010710983003,Sedang
Somalia,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,1401.6473,29.26423,3369.9002975254493,1613.447967166163,Tinggi
Chili,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,85.07715360132948,344.8146463949056,Sedang
Tajikistan,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,4472.324,74.85991,505.9137453220393,547.2565754147602,Sedang
Perancis,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,15.873075674271291,411.41325462870356,Sedang
Indonesia,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,13889.975,148.57692,1086.4830466615495,786.6891425560806,Tinggi
Netherlands,Risiko Sedang,DALYs (Disability-Adjusted Life Years),2023,70198.93,537.3486,7.159121739875637,414.53750646834754,Sedang
Tunisia,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,12650.962,78.53008,287.3255855916978,362.57711736608786,Sedang
Spain,Risiko Sedang,DALYs (Disability-Adjusted Life Years),2023,47322.594,95.87431,13.335580665606278,317.7890795033281,Sedang
Saint Vincent dan Grenadines,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,68.65375321271945,284.8058587847229,Sedang
Grenada,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,17093.156,344.3941,34.33533780066527,325.2134221195971,Sedang
Pulau Solomon,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,634.8259187613213,309.84310244416577,Sedang
Burundi,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,1036.1671,533.0785,2643.3476068140867,1476.3394823130836,Tinggi
Montenegro,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,27243.518,47.104313,33.189606831051854,374.88196118596454,Sedang
Zambia,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,3673.4841,27.877651,983.7215599468318,952.784571710939,Tinggi
Nepal,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,4861.2305,207.14764,691.5646034094506,644.8765343273114,Sedang
Pakistan,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,5418.7695,321.06747,1044.695170172525,1003.4150254866212,Tinggi
Togo,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,2842.2307,151.20157,1214.8968836195108,1065.8767771596704,Tinggi
Uzbekistan,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,10007.686,80.907906,176.90463162141106,409.66774532082786,Sedang
Bahama,Risiko Rendah,DALYs (Disability-Adjusted Life Years),2023,15136.696,102.52181,60.312713257067834,313.42859220244145,Sedang
